             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.300.nodk            300        0.09000        0.30000        0.31214        0.00310        0.20799        0.00049        0.88937        0.01569     1746.89050       51.37601     1762.00000    5.21197e+02    2.50587e+03    8.70873e-06    3.03954e-06    1.21248e-05    4.23182e-06    6.00359e-06    2.09539e-06    1.55410e-05    5.42415e-06    4.27507e-06    1.49210e-06    1.00099e-05    3.49369e-06    0.00000e+00    7.40859e+02    9.49993e+02    3.05163e+02    7.65879e+01    2.89785e+01    5.37914e+02
  mc.p5.hnu.301.nodk            301        0.09060        0.30100        0.31319        0.00310        0.20878        0.00049        0.89107        0.01563     1741.26234       50.92200     1742.00000    5.19159e+02    2.48659e+03    8.67467e-06    3.03437e-06    1.19972e-05    4.19659e-06    5.91320e-06    2.06842e-06    1.54007e-05    5.38710e-06    4.20619e-06    1.47131e-06    8.75565e-06    3.06270e-06    0.00000e+00    7.36093e+02    9.32875e+02    3.03199e+02    7.60952e+01    2.03807e+01    5.24406e+02
  mc.p5.hnu.302.nodk            302        0.09120        0.30200        0.31303        0.00310        0.20948        0.00049        0.88382        0.01563     1724.65119       49.72295     1757.00000    5.07344e+02    2.42191e+03    8.47727e-06    2.97220e-06    1.18700e-05    4.16174e-06    5.79675e-06    2.03239e-06    1.51820e-05    5.32293e-06    4.10277e-06    1.43847e-06    1.11430e-05    3.90683e-06    0.00000e+00    5.90129e+02    9.30299e+02    2.97442e+02    7.46502e+01    2.15668e+01    5.58284e+02
  mc.p5.hnu.304.nodk            304        0.09242        0.30400        0.31395        0.00310        0.21179        0.00049        0.88998        0.01485     1768.21071       50.35371     1779.00000    5.10263e+02    2.40929e+03    8.52604e-06    3.00415e-06    1.18814e-05    4.18643e-06    5.80436e-06    2.04517e-06    1.52367e-05    5.36867e-06    4.12493e-06    1.45342e-06    9.40487e-06    3.31381e-06    0.00000e+00    5.40054e+02    8.70564e+02    3.12657e+02    7.84687e+01    3.14969e+01    7.02256e+02
  mc.p5.hnu.305.nodk            305        0.09302        0.30500        0.31450        0.00310        0.21363        0.00049        0.88281        0.01519     1769.17305       51.78099     1786.00000    5.14527e+02    2.40847e+03    8.59728e-06    3.03726e-06    1.19230e-05    4.21218e-06    5.88868e-06    2.08036e-06    1.52487e-05    5.38708e-06    4.20275e-06    1.48475e-06    9.94345e-06    3.51283e-06    0.00000e+00    5.40642e+02    9.26513e+02    3.12997e+02    7.85542e+01    4.31405e+01    7.79424e+02
  mc.p5.hnu.306.nodk            306        0.09364        0.30600        0.31518        0.00310        0.21436        0.00049        0.88109        0.01526     1778.43217       52.67366     1804.00000    5.17389e+02    2.41365e+03    8.64511e-06    3.06256e-06    1.19591e-05    4.23656e-06    5.94679e-06    2.10667e-06    1.52730e-05    5.41051e-06    4.25811e-06    1.50845e-06    1.06966e-05    3.78932e-06    0.00000e+00    4.83535e+02    9.49066e+02    3.16282e+02    7.93786e+01    5.53330e+01    8.90919e+02
  mc.p5.hnu.307.nodk            307        0.09425        0.30700        0.31513        0.00290        0.20585        0.00048        0.88125        0.01580     1666.47072       49.69608     1677.00000    5.13383e+02    2.49400e+03    8.57817e-06    3.04755e-06    1.19490e-05    4.24511e-06    5.84905e-06    2.07798e-06    1.53197e-05    5.44262e-06    4.16191e-06    1.47860e-06    9.48251e-06    3.36884e-06    0.00000e+00    3.34696e+02    8.93156e+02    2.77712e+02    6.96986e+01    4.35255e+01    8.50912e+02
  mc.p5.hnu.308.nodk            308        0.09486        0.30800        0.31597        0.00290        0.20679        0.00049        0.87368        0.01629     1661.71474       50.38465     1671.00000    5.13773e+02    2.48453e+03    8.58469e-06    3.05895e-06    1.19398e-05    4.25448e-06    5.87084e-06    2.09194e-06    1.52949e-05    5.44997e-06    4.21886e-06    1.50329e-06    9.40289e-06    3.35050e-06    0.00000e+00    3.32788e+02    9.60026e+02    2.76130e+02    6.93013e+01    4.35773e+01    8.56791e+02
  mc.p5.hnu.309.nodk            309        0.09548        0.30900        0.31590        0.00290        0.20795        0.00049        0.88347        0.01582     1663.42779       49.87492     1670.00000    5.09309e+02    2.44924e+03    8.51009e-06    3.04176e-06    1.18467e-05    4.23438e-06    5.80624e-06    2.07532e-06    1.51021e-05    5.39795e-06    4.13308e-06    1.47729e-06    9.07969e-06    3.24535e-06    0.00000e+00    3.33474e+02    8.87781e+02    2.76699e+02    6.94443e+01    3.74798e+01    8.82629e+02
  mc.p5.hnu.310.nodk            310        0.09610        0.31000        0.31761        0.00290        0.21024        0.00049        0.90426        0.01464     1704.02361       49.34965     1683.00000    5.05045e+02    2.40226e+03    8.43884e-06    3.02598e-06    1.17394e-05    4.20950e-06    5.70248e-06    2.04478e-06    1.50397e-05    5.39292e-06    4.06131e-06    1.45630e-06    6.91398e-06    2.47920e-06    0.00000e+00    4.10276e+02    7.60875e+02    2.90370e+02    7.28752e+01    2.79509e+01    8.73041e+02
